fips,county_name,total_population,median_income,poverty_count,poverty_pct,elderly_population,elderly_pct,disability_count,disability_pct,uninsured_count,uninsured_pct,latitude,longitude,dist_nearest_hospitals_km,dist_2nd_nearest_hospitals_km,count_hospitals_50km,dist_nearest_fire_stations_km,dist_2nd_nearest_fire_stations_km,count_fire_stations_50km,dist_nearest_ems_stations_km,dist_2nd_nearest_ems_stations_km,count_ems_stations_50km,dist_nearest_nursing_homes_km,dist_2nd_nearest_nursing_homes_km,count_nursing_homes_50km,disaster_count,disaster_flood,disaster_severe_storms,disaster_hurricane,disaster_fire,disaster_tornado,disaster_count_recent,vulnerability_index,density_hospitals_per10k,density_fire_stations_per10k,density_ems_stations_per10k,density_nursing_homes_per10k,isolation_index,risk_score,risk_level,compound_risk_count,compound_risk_flag,neighbor_avg_risk,risk_contagion_delta,disasters_2015_2025,disasters_2005_2014,disaster_acceleration,redundancy_score,zero_redundancy_flag,pop_weighted_vulnerability,pop_weighted_risk,pop_weighted_vulnerability_norm,pop_weighted_risk_norm,state_fips,risk_score_state_pctile,vulnerability_index_state_pctile,isolation_index_state_pctile,counties_in_state,gap_hospital,gap_ems,gap_fire,gap_poverty,gap_disaster_prep,top_intervention,top_intervention_score
01001,"Autauga County, Alabama",58761,68315,6630,11.28,9176,15.62,9425,16.04,4225,7.36,32.532237,-86.64644,22.890953666333807,44.1125545894348,8,1.9959427269402894,6.154016655617263,83,32.60566489811504,45.277383767993655,3,24.8765709799794,25.80605954018891,16,24,2,0,11,0,0,10,0.21781233142597492,1.3614,14.125,0.5105,2.7229,0.0024766671214002827,0.23,Medium,1,0,0.2988,0.0688,10.0,6.0,1.4286,0.9972,0,12798.87,13515.03,0.0067,0.0027,01,0.1045,0.1045,0.9254,67,0.0041,0.0012,0.0004,0.1513,0.1395,add_poverty,0.1513
01003,"Baldwin County, Alabama",233420,71039,23445,10.04,49499,21.21,31878,13.66,21472,9.33,30.659218,-87.746067,16.788254124786736,22.30919882419587,11,4.1825825107515495,8.794974878394799,90,19.701088602105397,23.81122029140854,4,16.231293586714948,18.61827278602356,21,38,2,0,23,0,1,9,0.233265350590881,0.4713,3.8557,0.1714,0.8997,0.0018082879986211452,0.3111,High,2,0,0.3276,0.0165,9.0,13.0,0.6429,0.9983,0,54448.8,72616.96,0.0285,0.0146,01,0.403,0.1343,0.791,67,0.003,0.0007,0.0007,0.1319,0.2209,add_disaster_prep,0.2209
01005,"Barbour County, Alabama",24877,39712,5280,21.22,4926,19.8,3970,15.96,2348,10.73,31.870253,-85.405104,27.729538523045466,46.33934370748941,2,4.962380076855992,15.26412828499881,38,29.115405983160542,72.7705803964519,1,27.55399917164784,38.941444751749366,4,28,1,0,11,0,0,11,0.2937858301356533,0.804,15.2752,0.402,1.6079,0.0029119654159628283,0.3301,High,2,0,0.3434,0.0133,11.0,6.0,1.5714,0.9963,0,7308.51,8211.9,0.0038,0.0017,01,0.6119,0.5075,0.9701,67,0.005,0.0011,0.0009,0.3067,0.1628,add_poverty,0.3067
01007,"Bibb County, Alabama",22251,50669,4297,19.31,3734,16.78,4097,18.41,1760,8.44,33.015893,-87.127148,7.551929702928895,42.4485795113168,8,7.419310259103943,9.530215061539902,84,51.96804356956963,55.17655296451539,0,7.5897326563123455,35.599838211373154,8,20,1,0,9,0,0,7,0.2763979383472985,3.5953,37.7511,0.0,3.5953,0.0014580131406897229,0.2731,Medium,0,0,0.2904,0.0173,7.0,6.0,1.0,0.997,0,6150.13,6076.75,0.0032,0.0012,01,0.1642,0.3582,0.5821,67,0.0013,0.0019,0.0013,0.2768,0.1163,add_poverty,0.2768
01009,"Blount County, Alabama",59077,57440,8277,14.01,10791,18.27,9948,16.84,5948,10.15,33.977358,-86.56644,9.633848108632037,36.44441498098445,5,2.4547317723477198,6.671955598593482,147,11.683556428724035,37.481983652320594,2,11.521588493849787,12.367218795989382,18,25,1,0,6,0,1,9,0.2613648276984205,0.8464,24.8828,0.3385,3.0469,0.0011315991863917849,0.2801,Medium,1,0,0.3038,0.0237,9.0,5.0,1.5,0.9977,0,15440.65,16547.47,0.0081,0.0033,01,0.209,0.2687,0.3881,67,0.0017,0.0004,0.0004,0.194,0.1453,add_poverty,0.194
01011,"Bullock County, Alabama",10328,36136,2687,26.02,1714,16.6,1078,10.44,1176,12.2,32.101759,-85.717261,4.990074120054011,38.19516406204608,3,5.035676350186464,14.807503474585433,37,45.31225931415363,68.15406078415859,1,5.260593788623197,36.894919929974506,3,24,1,0,10,0,0,8,0.2690027003593456,2.9047,35.8249,0.9682,2.9047,0.0010739687552168702,0.2835,Medium,0,0,0.3093,0.0258,8.0,8.0,0.8889,0.9968,0,2778.26,2927.99,0.0014,0.0006,01,0.2388,0.3134,0.3134,67,0.0009,0.0016,0.0009,0.3817,0.1395,add_poverty,0.3817
01013,"Butler County, Alabama",18981,44429,3937,20.74,4021,21.18,3020,15.91,2053,10.99,31.751667,-86.681969,9.47013743224005,14.514458102126918,5,5.45601227924393,9.327190525572576,47,44.138306094089494,81.60476193415467,1,11.319940002825966,14.081394858647416,4,28,0,0,14,0,0,11,0.2992845270091969,2.6342,24.7616,0.5268,2.1074,0.0015462716256236153,0.3348,High,1,0,0.3293,-0.0055,11.0,8.0,1.2222,0.9981,0,5680.72,6354.84,0.003,0.0013,01,0.6716,0.5672,0.6567,67,0.0017,0.0016,0.001,0.2992,0.1628,add_poverty,0.2992
01015,"Calhoun County, Alabama",116162,54339,20267,17.45,20794,17.9,23123,19.91,12430,10.85,33.770516,-85.827909,7.3336466969389935,11.38259561247347,10,2.9475109345766204,5.996820812793267,96,11.847556137499572,29.38534625398052,4,8.364918842723293,12.872692242188222,13,23,0,0,8,0,0,8,0.2976654573058104,0.8609,8.2643,0.3443,1.1191,0.0009150042990034109,0.3093,High,0,0,0.3045,-0.0048,8.0,4.0,1.6,0.9989,0,34577.41,35928.91,0.0181,0.0072,01,0.3881,0.5224,0.2239,67,0.0013,0.0004,0.0005,0.2478,0.1337,add_poverty,0.2478
01017,"Chambers County, Alabama",34612,48805,6080,17.57,6830,19.73,7113,20.55,3684,10.79,32.915504,-85.394032,27.017663956789733,30.82055614110833,5,2.1391600422606314,12.38442663048906,84,26.751592606582825,79.43014244058267,1,2.5500054962829393,3.532952852400982,12,23,1,0,8,0,0,9,0.31042400251582875,1.4446,24.269,0.2889,3.467,0.0016478643327623775,0.3235,High,1,0,0.2816,-0.0419,9.0,5.0,1.5,0.9974,0,10744.4,11196.98,0.0056,0.0023,01,0.5522,0.6866,0.7015,67,0.0048,0.001,0.0004,0.2496,0.1337,add_poverty,0.2496
01019,"Cherokee County, Alabama",25069,46621,3516,14.03,5827,23.24,5026,20.05,2533,10.22,34.069515,-85.654242,10.22963930827967,33.89818062183315,11,4.835522076347059,7.045983261444856,89,16.941517922621912,45.080399208188695,3,10.721650308743156,18.597386813997247,13,25,0,0,8,1,1,8,0.3060151562216596,4.3879,35.502,1.1967,5.1857,0.0012787458458408004,0.3278,High,2,0,0.3104,-0.0174,8.0,4.0,1.6,0.9977,0,7671.49,8217.62,0.004,0.0017,01,0.5821,0.5821,0.4328,67,0.0018,0.0006,0.0009,0.1943,0.1453,add_poverty,0.1943
